metadata_id,issue_id,labels,created_by,priority
M1,I1,Auth,Security,U1,High
M2,I2,Checkout,Payment,U2,High
M3,I3,Search,Performance,U3,Medium
M4,I4,Profile,User,U4,Low
M5,I5,Payment,Gateway,U5,High
M6,I6,Cloud,Stability,U6,Critical
M7,I7,Email,Delivery,U7,Medium
M8,I8,Employee,Data,U8,Low
M9,I9,Records,Integrity,U9,High
M10,I10,LMS,Loader,U10,Medium
M11,I11,Tracker,Crash,U11,Critical
M12,I12,Transaction,Timeout,U12,High
M13,I13,Feed,Refresh,U13,Low
M14,I14,Game,Lag,U14,High
M15,I15,Drive,Sync,U15,Critical
M16,I16,Chat,Reconnect,U16,Medium
M17,I17,Streaming,Freeze,U17,High
M18,I18,Export,Plan,U18,Low
M19,I19,Code,Merge,U19,High
M20,I20,Docs,API,U20,Medium
M21,I21,Job,Posting,U21,High
M22,I22,Checkout,Market,U22,Critical
M23,I23,Video,Buffer,U23,High
M24,I24,News,Refresh,U24,Medium
M25,I25,Profile,Privacy,U25,Low
M26,I26,Payment,Retry,U26,High
M27,I27,Doctor,Connect,U27,Critical
M28,I28,Alert,System,U28,High
M29,I29,Course,Enrollment,U29,Medium
M30,I30,Trade,Mismatch,U30,High
M31,I31,Map,Loader,U31,Medium
M32,I32,Compute,Quota,U32,High
M33,I33,Checkout,Mobile,U33,Critical
M34,I34,Farm,Data,U34,High
M35,I35,Home,Automation,U35,Medium
M36,I36,Cache,Invalidation,U36,Low
M37,I37,Profile,Image,U37,Low
M38,I38,Analytics,Reports,U38,High
M39,I39,Password,Reset,U39,High
M40,I40,Notification,Delay,U40,Medium
